Restaurant Name,City,Comment,Cuisine Type,Price,Rating,URL,Visited
Lyla,Mumbai,,,,,"https://www.instagram.com/reel/C4PugpfIotL/?igsh=MThrcnUwMmZoNDhtcg== ",No
"Mag St. Cafe, Colaba",Mumbai,,Cafe,,,https://www.instagram.com/reel/C3nEUn-vmhl/?igsh=MWplMmhubHQ4YzFwMg==,No
Crazy Craft,Mumbai,,,,,https://www.instagram.com/reel/C2M5K2CPBP9/?igsh=MWhyMzVzcmtvZHox,Yes
La Panthera,Mumbai,,,,,https://www.instagram.com/reel/C3mp3F7vp2d/?igsh=MTYyNmdheGd6OHVhdw==,No
" Charlee, Bandra",Mumbai,Speakeasy Bars,Bar,,,https://www.instagram.com/reel/C32r0EcSIL-/?igsh=MTQxaGV6M2hva2s0cA==,No
Gaylord,Mumbai,,Indian,,⭐⭐⭐⭐,https://www.instagram.com/reel/C3NpoP5Shcy/?igsh=MWRvNHY4bnF2ODJhag==,Yes
"Luuma House, Juhu",Mumbai,"Great cocktails, average food, avg service, great ambiance v premium","Bar, Indian",$$$,⭐⭐⭐⭐,https://www.instagram.com/reel/C_A2944v9ZB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Yes
"Mokai, Bandra",Mumbai,,,,,https://www.instagram.com/reel/C_NsKNDoiPl/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
Speakeasy Bars 1,Mumbai,Low key - Speakeasy Bar in Mumbai,Bar,,,https://www.instagram.com/reel/DA039j4SMsv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
Ness,Mumbai,,,,,https://www.instagram.com/reel/C-ztFZ9y5CJ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
Luv,Mumbai,,,,,https://www.instagram.com/reel/DB_Yq-EPKA-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
Bombay Daak,Mumbai,,,,,https://www.instagram.com/reel/C_GI5jUyxyN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
Masa Bakery,Mumbai,,Bakery,,,https://www.instagram.com/reel/C_GPTj3PgOy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
Otra,Mumbai,,,,,https://www.instagram.com/reel/C-fekD7IxpS/,No
"Flurrys, Colaba",Mumbai,,,,,https://www.instagram.com/reel/C--QQCWCUeL/,No
Native,Mumbai,,Cafe,,,https://www.instagram.com/reel/C-7c_bDSMAc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
