Restaurant Name,City,Comment,Cuisine Type,Price,Rating,URL,Visited
"Nipha, Nashik",Nashik,Boutique Winery,,,,https://www.instagram.com/reel/DPS76v0jL3y/?igsh=MWM0bmZ5MTB5dWFwag==,No
"HOM, Bandra",Mumbai,"Indian food, inspired, cocktails","Grill, Indian",,,https://www.instagram.com/reel/DPQc3oKgmu4/?igsh=ODE3cGdnb205bDJv,No
Bang Bang Noodles,Mumbai,"Only famous for noodles ",Chinese,$,,https://www.instagram.com/reel/DPJAmrGDDgf/?igsh=OGJ4azMzcWd3enln,No
"Barako, Lower Parel",Mumbai,"Ramen Bar, v limited options, low variety, small cozy setup",Japanese,$,,https://www.instagram.com/reel/DOyVaL7CtFg/?igsh=MTcydm9nemw2ZXEyaA==,No
"House Of Paloma, Bandra",Mumbai,"Great interiors, amazing cocktails, miso ramen, Chilean sea bass and cheesecake ",Asian,,,https://www.instagram.com/reel/DOp5ouvimIq/?igsh=MTQyZndpcHFpNGhxaA==,No
Bokka Coffee,Mumbai,"Good coffee, good eggs benedict",Cafe,,,https://www.instagram.com/reel/DOiFZhcEXcY/?igsh=a2NsNnQ0MG5vbWo=,Yes
Morii,Mumbai,Gelato,Dessert,,,https://www.instagram.com/reel/DOiFZhcEXcY/?igsh=a2NsNnQ0MG5vbWo=,No
Loyka,Mumbai,San sebastian cheesecake,Dessert,,,https://www.instagram.com/reel/DOiFZhcEXcY/?igsh=a2NsNnQ0MG5vbWo=,No
Tokyo Matcha Bar,Mumbai,,Cafe,,,https://www.instagram.com/reel/DOiFZhcEXcY/?igsh=a2NsNnQ0MG5vbWo=,No
Oh Dough!,Mumbai,"Dark chocolate ice cream, salted caramel cookie dough",Dessert,$$$,,https://www.instagram.com/reel/DMVIFvFtSyL/?igsh=Nm1idWcwazVlZ253,No
Cuppetto,Mumbai,"Great icecream, gelato flavors",Dessert,$$$,,,Yes
"Otoki, Fort",Mumbai,,"Asian, Japanese",,,,No
Wagamama,Mumbai,,"Asian, Japanese",,,https://www.instagram.com/reel/DM6-KMsowsM/?igsh=MW1jN2kwNnNrM3Jn,No
7th east,Mumbai,Amazing square pizzas,Italian,,,https://www.instagram.com/reel/DPyAIC0Et1S/?igsh=cjV6Z2F1ZXhubGxi,No
Biryani Spots in Mumbai,Mumbai,,Indian,,,https://www.instagram.com/reel/DO3iJOBDI8I/?igsh=MW93bTU0M2VmOHVzaw==,No
"Bombon, KP",Pune,"Cozy spot, decent coffee","Bakery, Cafe",,,https://www.instagram.com/reel/DPIv3wbiNuU/?igsh=MXRpeXhtMm1qNGoxeQ==,No
"Yamsai, Bandra",Mumbai,,Asian,,,https://www.instagram.com/reel/DPbDHV9iBf2/?igsh=bHRzZXN2ZDA4NW9v,No
"Bawri, BKC",Mumbai,"Ordered. Good non-veg. Not the best, maybe dine in is better.",Indian,,,,Yes
"Opa, Worli",Mumbai,,Mediterranean,,,https://www.instagram.com/reel/DQHPOZeEyWl/?igsh=MXBkOTd5dTh5cDNhOQ==,No
"Kaspers, Bandra West",Mumbai,,,,,,No
"Amadeo, BKC",Mumbai,"Not the best cocktails, or food, and slightly expensive for the quality. Aesthetic upmarket place, picante and desserts were nice",European,$$$$,⭐⭐⭐⭐,,Yes
"Amaru, BKC",Mumbai,,,,,,No
,,,,,,,No
"La Loca Maria, Bandra West",Mumbai,"Great margherita, ckn tacos were amazing",,,,,Yes
"Punchline, Bandra",Mumbai,,,,,https://www.instagram.com/reel/DYXIOkYiLO5/?igsh=OXY0bWdlMDk4MmJy,No
"66 Chuim, Bandra",Mumbai,,,,,https://www.instagram.com/reel/DX9Uz6TMNe8/?igsh=aGwwaDB4M3B3OTdu,No
"Adam and Eve, Bandra",Mumbai,,,,,https://www.instagram.com/reel/DYR9Ep0TVSE/?igsh=MTZob3F4a205NmE2dg==,No
"304, Delhi",Delhi,,,,,https://www.instagram.com/reel/DW6Q8vfD810/?igsh=eGRzbHpsejcwOGY0,No
"Soam, SoBo",Mumbai,,,,,https://www.instagram.com/reel/DX_26Pmx8Eo/?igsh=MW1oNHV4dnRkZG85ZQ==,No
"Naked and Famous, BLR",Bangalore,,,,,https://www.instagram.com/reel/DXZJma-Dxp0/?igsh=MW1saTJoY2syMDh6ag==,No
"Gajalee, Marol",Mumbai,,,,,https://www.instagram.com/reel/DXbL7zxOsxv/?igsh=ZjgzbWlwM2QzcGpi,No
"Everhome Cafe, Bandra",Mumbai,,,,,https://www.instagram.com/reel/DXOhCzpDDlQ/?igsh=MnFxbXZrNWt1dWp4,No
"Karaoke Places ",Mumbai,,,,,https://www.instagram.com/reel/DW9g1iJD_rz/?igsh=N3pnc2pxMXN0Mjdm,No
Trishna,Mumbai,,,,,https://www.instagram.com/reel/DWGYahpCFIn/?igsh=ZHhyeWt4YjdraW9k,No
"Hearth Restaurant ",Mumbai,,,,,https://www.instagram.com/reel/DYMow7kzsmd/?igsh=MW15d212djJzYnhsMg==,No
Cordeliers Cafe,Mumbai,,,,,https://www.instagram.com/reel/DXwv9mYIfhB/?igsh=d2ttbHd4M3huZmhx,No
Aabbcc,Delhi,,,,,https://www.instagram.com/reel/DXegdWek84P/?igsh=OTlud3JuYTFjbmdo,No
